variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description
clc_age,Predictor,Age,Age,About You,Age,Continuous,years,limesurvey,limesurvey::age,
married,Predictor,Marital status,Marital status (3 groups),Health Profile,Marital status,Categorical,N/A,limesurvey,limesurvey::mar,
edudr04,Predictor,Highest education level,"Highest level of education - respondent, 4 levels - (D)",Health Profile,Education,Categorical,N/A,limesurvey,limesurvey::edu,
working,Predictor,Working status,Working status,Health Profile,Occupation,Categorical,N/A,limesurvey,limesurvey::work,
gendmhi,Predictor,Self-rated mental health,Self-rated mental health,Health Profile,Psychosocial,Categorical,N/A,limesurvey,limesurvey::mh,
gen_025,Predictor,Stress,"Self-perceived stress	",Health Profile,Psychosocial,Categorical,N/A,limesurvey,limesurvey::str,
gen_045,Predictor,Sense of belonging,Sense of belonging to local community,Health Profile,Psychosocial,Categorical,N/A,limesurvey,limesurvey::bel,
fmh_15,Predictor,Hypertension family history,Hypertension family history,Health Profile,Family history,Categorical,N/A,limesurvey,limesurvey::fmh,
hwmdbmi,Predictor,Body mass index,Body mass index,Health Profile,Weight,Continuous,kg/m2,limesurvey,"DerivedVar::[limesurvey::cm, limesurvey::kgs]",
low_drink_score1,Predictor,Alcohol consumption level,Low risk drinking score - former/never drinking categories,Health Profile,Alcohol,Categorical,N/A,limesurvey,limesurvey::alc,
minperweek,Predictor,Minutes of exercise per week,Total moderate-to-vigorous physical activity - Days 1-7 (min/week),Health Profile,Exercise,Continuous,minutes/week,limesurvey,limesurvey::phys,
smoke,Predictor,Smoking status,Smoking status,Health Profile,Smoking,Categorical,N/A,limesurvey,limesurvey::smk,
slp_11,Predictor,Hours of sleep per day,Hours spent sleeping in 24 hour period,Health Profile,Sleep,Continuous,hours/day,limesurvey,limesurvey::slp,
totalfv,Predictor,Daily fruit and vegetable consumption,Daily fruit and vegetable consumption,Health Profile,Diet,Continuous,times/day,limesurvey,limesurvey::fv,
diabx,Predictor,Diabetes,Diabetes,Health Profile,Chronic disease,Categorical,N/A,limesurvey,limesurvey::diab,
ckd,Predictor,Chronic kidney disease,Chronic kidney disease (categorized by GFR),Health Profile,Chronic disease,Categorical,N/A,limesurvey,limesurvey::ckd,
